203.121.165.16#6#5#C&C#TH##15.0,100.0#2
46.4.123.15#4#2#Malicious Host#DE##51.0,9.0#3
61.67.129.145#6#5#C&C#TW#Taipei#25.0391998291,121.525001526#2
222.124.202.178#9#5#C&C#ID#Jakarta#-6.17439985275,106.829399109#2
62.209.195.186#6#5#C&C#CZ#Karvina#49.8568000793,18.5468997955#2
111.118.163.80#6#4#C&C#AU##-27.0,133.0#2
37.48.85.16#2#2#Scanning Host###-27.0,133.0#11
37.48.85.17#2#2#Scanning Host###-27.0,133.0#11
210.253.108.243#6#4#C&C#JP##35.6899986267,139.690002441#2
208.52.140.212#2#2#Scanning Host###35.6899986267,139.690002441#11
211.255.163.128#2#2#Scanning Host###35.6899986267,139.690002441#11
199.189.85.226#2#2#Scanning Host###35.6899986267,139.690002441#11
199.189.85.227#2#2#Scanning Host###35.6899986267,139.690002441#11
199.189.85.228#2#2#Scanning Host###35.6899986267,139.690002441#11
218.6.132.45#3#2#Scanning Host;Malicious Host#CN#Chengdu#30.6667003632,104.066703796#11;3
69.168.184.210#3#2#Scanning Host;Malicious Host#CA##60.0,-95.0#11;3
222.186.31.190#2#2#Scanning Host#CN#Nanjing#32.0616989136,118.777801514#11
222.186.31.191#2#2#Scanning Host#CN#Nanjing#32.0616989136,118.777801514#11
222.66.55.127#2#2#Scanning Host###32.0616989136,118.777801514#11
222.66.55.128#2#2#Scanning Host###32.0616989136,118.777801514#11
78.180.111.21#2#2#Scanning Host###32.0616989136,118.777801514#11
78.186.43.238#2#2#Scanning Host###32.0616989136,118.777801514#11
78.186.43.239#2#2#Scanning Host###32.0616989136,118.777801514#11
46.29.248.1#2#2#Scanning Host###32.0616989136,118.777801514#11
46.29.248.2#2#2#Scanning Host###32.0616989136,118.777801514#11
46.29.248.3#2#2#Scanning Host###32.0616989136,118.777801514#11
46.29.248.4#2#2#Scanning Host###32.0616989136,118.777801514#11
46.29.248.5#2#2#Scanning Host###32.0616989136,118.777801514#11
46.29.248.6#2#2#Scanning Host###32.0616989136,118.777801514#11
46.29.248.7#2#2#Scanning Host###32.0616989136,118.777801514#11
46.29.248.8#2#2#Scanning Host###32.0616989136,118.777801514#11
46.29.248.9#2#2#Scanning Host###32.0616989136,118.777801514#11
46.29.248.10#2#2#Scanning Host###32.0616989136,118.777801514#11
46.29.248.11#2#2#Scanning Host###32.0616989136,118.777801514#11
46.29.248.12#2#2#Scanning Host###32.0616989136,118.777801514#11
46.29.248.13#2#2#Scanning Host###32.0616989136,118.777801514#11
46.29.248.14#2#2#Scanning Host###32.0616989136,118.777801514#11
46.29.248.15#2#2#Scanning Host###32.0616989136,118.777801514#11
46.29.248.16#2#2#Scanning Host###32.0616989136,118.777801514#11
